Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Ex-libris o el Arte de Identificar sus Libros	Paige Abadi, Fernando Abella, Fernando Acosta, Pedro Alcántara, Alfonso Álvarez, Fernando Cruz, Jim Amaral, Olga de Amaral, María Mercedes Ángel, Jorge Bachmann, Consuelo Barbosa, Rosenell Baud, Margarita Becerra, Adolfo Bernal, María Elena Bernal, Sonia Bohórquez, Tutua Boshell, Fernando Botero, Flor María Bouhot, Denise Buraye, Nubia Cadavid, María Teresa Cano, Johanna Calle, Santiago Cárdenas, Dicken Castro, Lorenzo Castro, Marta Combariza, David Consuegra, Federman Contreras, Édgar Correal, María Cristina Cortés, Raúl Cristancho, Mauricio Cruz, Fabio Daza, Fernando Devis, Álvaro Díaz, Claire Doebeli, Hannah Doeleman, Ivanka Drufovka, Gloria Duncan, Ana Durán, María Victoria Durán, Ángela Echeverri, Clemencia Echeverri, Gloria Escobar, Patricia Esguerra, Eduardo Esperanza, Lina Espinoza, Benjamín Farbiarz, Francisco Fernández, Rodrigo Fernández, Alekos, Carolina Franco, Juan Carlos Franco, Diana Galindo Giraldo, Alberto Gómez Cabal, José Gómez, Monina Gómez, Leonel Góngora, Luis Eduardo Garzón, Umberto Giangrandi, Ethel Gilmour, Juan David Giraldo, Beatriz González, Liliana González, Óscar González Cerón, Mario Gordillo, Ilse Gordon, Enrique Grau, Alejandro Hernández, Álvaro Henao, Claudia Hernández, Clara Hurtado, Filomeno Hernández, Manuel Hernández, María Cristina Hernández, Clara Hurtado, Beatriz Jaramillo, Lorenzo Jaramillo, María de la Paz Jaramillo, Víctor Laignelet, Karen Lamassone, Alfredo Lleras, Henry Lobo, Ángel Loochkartt, Duván López, Juan Manuel Lugo, David Manzur, Diego Mazuera, Asdrúbal Medina, Constanza Medina, Luis Fernando Mejía, Yolanda Mesa, Paulina Michaels, Alejandro Miranda, Luis Monje, Diana Monroy, Margarita Monsalve, Beatriz Montana, Armando Montoya, Lourdes Morales, Óscar Muñoz, Jaime Osorio, Nadín Ospina, Pilar Otálora, Gabriela Pacific, César Padilla, Germán Páez, Luis Paz, Dioscórides Pérez, Eliana Pérez, Miguel Poling, Ruby Posada, Mariana de Prieto, Mauricio Quintero, Eduardo Ramírez Villamizar, Saturnino Ramírez, Ómar Rayo, Fabián Rendón, Ernesto Restrepo, Mónica Restrepo, Leopoldo Richter, Alberto Rincón, Juan Antonio Roda, Luis Fernando Rodríguez, María Cristina Rodríguez, Marta Rodríguez, Ana María Rueda, Felipe Salazar, Rodrigo Salazar, Antonio Samudio, Álvaro Sánchez, Julio Abel Sánchez, Carlos Eduardo Santa, Mercedes Sebastián, Ferney Shambo, Edilberto Sierra, Édgar Silva, Gabriel Silva, José Monjales Soler, Nicolas Sperakis, José Antonio Suárez, Lucy Tejada, Jean Gabriel Thenot, Jorge Torres, Martha Torres, Luisa Ungar, Luis Fernando Uribe, Jaime Valencia, Diva Velásquez, Armando Villegas, Enrique Wallenberg, Gustavo Zalamea,Elsa Zambrano	Paige Abadi, Fernando Abella, Fernando Acosta, Pedro Alcántara, Alfonso Álvarez, Fernando Cruz, Jim Amaral, Olga de Amaral, María Mercedes Ángel, Jorge Bachmann, Consuelo Barbosa, Rosenell Baud, Margarita Becerra, Adolfo Bernal, María Elena Bernal, Sonia Bohórquez, Tutua Boshell, Fernando Botero, Flor María Bouhot, Denise Buraye, Nubia Cadavid, María Teresa Cano, Johanna Calle, Santiago Cárdenas, Dicken Castro, Lorenzo Castro, Marta Combariza, David Consuegra, Federman Contreras, Édgar Correal, María Cristina Cortés, Raúl Cristancho, Mauricio Cruz, Fabio Daza, Fernando Devis, Álvaro Díaz, Claire Doebeli, Hannah Doeleman, Ivanka Drufovka, Gloria Duncan, Ana Durán, María Victoria Durán, Ángela Echeverri, Clemencia Echeverri, Gloria Escobar, Patricia Esguerra, Eduardo Esperanza, Lina Espinoza, Benjamín Farbiarz, Francisco Fernández, Rodrigo Fernández, Alekos, Carolina Franco, Juan Carlos Franco, Diana Galindo Giraldo, Alberto Gómez Cabal, José Gómez, Monina Gómez, Leonel Góngora, Luis Eduardo Garzón, Umberto Giangrandi, Ethel Gilmour, Juan David Giraldo, Beatriz González, Liliana González, Óscar González Cerón, Mario Gordillo, Ilse Gordon, Enrique Grau, Alejandro Hernández, Álvaro Henao, Claudia Hernández, Clara Hurtado, Filomeno Hernández, Manuel Hernández, María Cristina Hernández, Clara Hurtado, Beatriz Jaramillo, Lorenzo Jaramillo, María de la Paz Jaramillo, Víctor Laignelet, Karen Lamassonne, Alfredo Lleras Rojas, Henry Lobo, Ángel Loochkartt, Duván López, Juan Manuel Lugo, David Manzur, Diego Mazuera, Asdrúbal Medina, Constanza Medina, Luis Fernando Mejía, Yolanda Mesa, Paulina Michaels, Alejandro Miranda, Luis Monje, Diana Monroy, Margarita Monsalve, Beatriz Montana, Armando Montoya, Lourdes Morales, Óscar Muñoz, Jaime Osorio, Nadín Ospina, Pilar Otálora, Gabriela Pacific, César Padilla, Germán Páez, Luis Paz, Dioscórides Pérez, Eliana Pérez, Miguel Poling, Ruby Posada, Maríana de Prieto, Mauricio Quintero, Eduardo Ramírez Villamizar, Saturnino Ramírez, Ómar Rayo, Fabián Rendón, Ernesto Restrepo, Mónica Restrepo, Leopoldo Richter, Alberto Rincón, Juan Antonio Roda, Luis Fernando Rodríguez, María Cristina Rodríguez, Marta Rodríguez, Ana María Rueda, Felipe Salazar, Rodrigo Salazar, Antonio Samudio, Álvaro Sánchez, Julio Abel Sánchez, Carlos Eduardo Santa, Mercedes Sebastián, Ferney Shambo, Edilberto Sierra, Édgar Silva, Gabriel Silva, José Monjales Soler, Nicolas Sperakis, José Antonio Suárez Londoño, Lucy Tejada, Jean Gabriel Thenot, Jorge Torres, Martha Torres, Luisa Ungar, Luis Fernando Uribe, Jaime Valencia, Diva Velásquez, Armando Villegas, Enrique Wallenberg, Gustavo Zalamea,Elsa Zambrano	Varias	1989	10	24-oct.			45 días	Colectiva		Grabado		NA		Biblioteca Luis Ángel Arango,Embajada de Suiza	Benoit Junod		Alterna	0058f									
Muestra de arte gráfico latino-americano de la Colección del Museo de Arte Moderno La Tertulia 1989	Varios	Varios	Varias	1989	11	15-nov.			60 días	Colectiva		Arte Gráfico		Miguel González					Galería-taller										
II Salón de Arte Joven - Medalla Marta Traba 1989	Varios	Varios	Colombiana	1989	11	2-nov.			43 días	Colectiva		Fotografía,Video		NA					Rotatoria	0066c									
VI Portafolio Smurfit Cartón de Colombia S.A. - AGPA	Varios	Varios	Colombiana	1989	11	30-nov.				Colectiva		Arte Gráfico		NA		Cartón de Colombia S.A.			Sala de la Colección										
Exposición de Victor Laignelet	Victor Laignelet	Víctor Laignelet	Colombiana	1990	1	30-ene.			45 días	Individual		Pintura,Arte Gráfico		NA			Victor Laignelet		Rotatoria	0067c									
Exposición de Cristina Llano 1990	Cristina Llano	Cristina Llano	Colombiana	1990	1	6-ene.			45 días	Individual		Pintura		NA			Miguel González		Galería-taller	0042p									
Exposición de Ediciones Felipe Domínguez Zamorano	Varios	Varios	Colombiana	1990	1	20-ene.			30 días	Colectiva		Editorial		NA					Sala de la Colección										
Exposición de Constanza Aguirre	Constanza Aguirre	Constanza Aguirre	Colombiana	1990	3	13-mar.			30 días	Individual		Pintura		NA			Miguel González		Galería-taller	0043p									
Exposición de Carlos Rojas 1990	Carlos Rojas	Carlos Rojas	Colombiana	1990	3	21-mar.			45 días	Individual		Pintura		NA					Rotatoria										
Muestra de arte gráfico europeo de la Colección del Museo de Arte Moderno La Tertulia	Varios	Varios	Varias	1990	3	14-mar.			45 días	Colectiva		Arte Gráfico		Miguel González					Alterna										
Exposición de Alberto Arboleda 1990	Alberto Arboleda	Alberto Arboleda	Colombiana	1990	4	3-abr.			30 días	Retrospectiva-individual		Varias		NA		Avianca,Centro Colombo-americano de Bogotá	Germán Rubiano Caballero y Frances Miralles		Sala de la Colección	0068c									
Luz de la Cueva de los Sueños	Álvaro Barrios	Álvaro Barrios	Colombiana	1990	4	24-abr.			45 días	Individual		Varias		NA			Critiane Lesueur		Galería-taller	0044p									
Paisaje, Bodegón, Ciudad	Roberto Páramo	Roberto Páramo	Colombiana	1990	5	15-may.			45 días	Retrospectiva-individual	Paisaje, bodegón y ciudad			Eduardo Serrano		Proartes			Rotatoria										
Exposición de Francisco de la Puente	Francisco de la Puente	Francisco De La Puente	Chilena	1990	6	6-jun.				Individual		Pintura,Dibujo		NA		Galería Época (Chile)	Jaime León Ruiz-Tagle		Galería-taller	0069c									
Muestra de adquisiciones del Museo de Arte Moderno La Tertulia de los años 80	Varios	Varios	Varias	1990	7	Julio				Colectiva		Varias		Miguel González					Sala de la Colección										
Exposición de Luis Caballero 1990	Luis Caballero	Luis Caballero	Colombiana	1990	8	Agosto			45 días	Individual		Dibujo		NA			Miguel González		Rotatoria	0045p									
Exposición de Bibiana Vélez	Bibiana Vélez	Bibiana Vélez	Colombiana	1990	9	11-sept.			45 días	Individual		Pintura		NA			Germán Rubiano Caballero 		Galería-taller	0046p									
Tres Escultores Colombianos 	John Castles, Ramiro Gómez,Hugo Zapata	John Castles, Ramiro Gómez,Hugo Zapata	Colombiana	1990	9	25-sept.			45 días	Colectiva		Escultura		NA			Eduardo Serrano, Alvaro Herazo y Patricia Gómez		Rotatoria	0059f									
Puertos	Diego Mazuera	Diego Mazuera	Colombiana	1990	10	24-oct.			45 días	Individual	Los puertos marítimos	Pintura		NA			Miguel González		Galería-taller	0047p									
Muestra de arte tridimensional latino-americano de la Colección del Museo de Arte Moderno La Tertulia 1990	Varios	Varios	Varias	1990	10	Octubre				Colectiva		Escultura,Objetos		Miguel González					Sala de la Colección										
Superficies al Carbón	Óscar Muñoz	Óscar Muñoz	Colombiana	1990	11	15-nov.			65 días	Individual		Dibujo		NA					Rotatoria										
Exposición de arte cubano 1990	Varios	Varios	Cubana	1990	11	Noviembre				Colectiva		Pintura, Dibujo,Arte Gráfico		NA					Alterna										
Bodegones	Gregoria Cuartas, Teresa Cuellar, Ana Mercedes Hoyos, Alberto Iriarte, David Manzur, Santiago Medina, Juan Antonio Roda,Hernando Tejada	Gregorio Cuartas, Teresa Cuéllar, Ana Mercedes Hoyos, Alberto Iriarte, David Manzur, Santiago Medina, Juan Antonio Roda,Hernándo Tejada	Colombiana	1990	12	5-dic.			55 días	Colectiva	Bodegón	Varias		NA					Galería-taller										
De Amores y Amantes	María de la Paz Jaramillo 	María de la Paz Jaramillo 	Colombiana	1991	1	30-ene.			30 días	Individual		Ilustración		NA					Galería-taller										
Ocho Nuevos Artistas de Cali	Luis Guillermo Botero, Armín Troger, José Antonio Franco, Elizaberh Saavedra, Pablo Van Wong, Carmenza Delgado, Blanca Obeyda,José Horacio Marínez	Luis Guillermo Botero, Armin Troeger, José Antonio Franco, Elizabeth Saavedra, Pablo Van Wong, Carmenza Delgado, Blanca Obeyda Giraldo,José Horacio Martínez	Colombiana	1991	2	5-feb.			45 días	Colectiva		Pintura, Escultura ,Dibujo		NA			Miguel González y Óscar Muñoz		Rotatoria	0060f									
Artistas de Buenos Aires	Jorge Álvaro, Elizabeth Aro, Eduardo Audivert, Magdalena Beccarini, Luis F. Benedit, Remo Bianchedi, Mildred Burton, Alicia Carletti, Américo Castilla, Guillermo Conte, Jorge Demirijián, Nora Dobarro, Hernán Dompé, Diana Dowek, Ana Eckell, Fernando Fazzolari, María Finocchetti, Eduardo Hoffmann, Juan Lecuona, Gustavo López Armentía, Matilde Marín, Eduardo Medici, MIguel Melcon, Esvaldo Monzo, Luis F. Noé, Pablo Obelar, Margarita Paksa, Rogelio Polesello, Yanz Poli, Alejandro Puente, Alfredo Prior, Armando Rearte, Juan Pablo Renzi, Silvia Rivas, Marino Santa María, Marcia Schvartz, Antonio Seguí, Santiago Spinosa, León Tenenbaum, Clorindo Testa, Luis Wells,Daniel Zelaya   	Jorge Álvaro, Elizabeth Aro, Eduardo Audivert, Magdalena Beccarini, Luis F. Benedit, Remo Bianchedi, Mildred Burton, Alicia Carletti, Américo Castilla, Guillermo Conte, Jorge Demirjian, Nora Dobarro, Hernán Dompé, Diana Dowek, Ana Eckell, Fernando Fazzolari, María Finocchetti, Eduardo Hoffmann, Juan Lecuona, Gustavo López Armentía, Matilde Marín, Eduardo Medici, MIguel Melcon, Esvaldo Monzo, Luis F. Noé, Pablo Obelar, Margarita Paksa, Rogelio Polesello, Yanz Poli, Alejandro Puente, Alfredo Prior, Armando Rearte, Juan Pablo Renzi, Silvia Rivas, Marino Santa María, Marcia Schvartz, Antonio Seguí, Santiago Spinosa, León Tenenbaum, Clorindo Testa, Luis Wells,Daniel Zelaya   	Argentina	1991	2	12-feb.			45 días	Colectiva		Pintura		Jorge Glusberg		Centro de Arte y Comunicación de Buenos Aires, Secretaría de Cultura de Buenos Aires	Jorge Glusberg		Sala de la Colección	0061f									
Doce Escultores Colombianos: Pequeño Formato	Nadín Ospina, Édgar Negret, Eduardo Ramírez Villamizar, Hugo Zapata, Ronny Vayda, John Castles, Consuelo Gómez, Rosemberg Sandoval, Mónica Negret, Lydia Azout, Alicia Barney,Jorge Alberto Reyes	Nadín Ospina, Édgar Negret, Eduardo Ramírez Villamizar, Hugo Zapata, Ronny Vayda, John Castles, Consuelo Gómez, Rosemberg Sandoval, Mónica Negret, Lydia Azout, Alicia Barney,Jorge Alberto Reyes	Colombiana	1991	3	5-mar.				Colectiva		Escultura		Miguel González			Miguel González		Galería-taller	0048p									
Exposición de Liliana Porter 1991	Liliana Porter	Liliana Porter	Argentina	1991	4	23-abr.			38 días	Individual		Varias		NA			Miguel González		Galería-taller	0049p									
Fibers: Arte Textil Colombiano y de Estados Unidos	Varios	Varios	Varias	1991	4	29-abr.			45 días	Colectiva		Textil		Nancy A. Corwing,María Teresa Guerrero		Avianca,Amigos de las Américas	Susan A. Cannell y María Teresa Guerrero		Rotatoria	0070c									
Exposición de nueva pintura bolivariana	Marna Goldstein, Morgan Clifford, Lia Cook, Emily Dubois, Lillian Elliott, Judith Poxson, Mary Ann Jordan, Gyongy Laky, Joan Livingstone, John McQueen, Rebecca Medel, Norma Minkowitz, Derrel Morris, Cynthia Schira, Diane Sheehan, Sheri Simons, Connie Utterbach, Susan Wilchins, Ann Wilson, Bhakti Ziek (Estados Unidos), Patricia Angel de Greiff, Stella Bernal de Parra, Diana Marcela Camelo, Monica de Rhodes, Alvaro Gómez Campuzano, Carmen Hoyos Gomez, Claudia Hakim, Marlene Hoffmann, Silvia Londoño, Clara Ines Palau, Marta Ramirez (Colombia)	Marna Goldstein, Morgan Clifford, Lia Cook, Emily Dubois, Lillian Elliott, Judith Poxson, Mary Ann Jordan, Gyongy Laky, Joan Livingstone, John McQueen, Rebecca Medel, Norma Minkowitz, Derrel Morris, Cynthia Schira, Diane Sheehan, Sheri Simons, Connie Utterbach, Susan Wilchins, Ann Wilson, Bhakti Ziek, Patricia Ángel de Greiff, Stella Bernal de Parra, Diana Marcela Camelo, Monica de Rhodes, Álvaro Gómez Campuzano, Carmen Hoyos Gomez, Claudia Hakim, Marlene Hoffmann, Silvia Londoño, Clara Ines Palau, Marta Ramirez 	Varias	1991	4	29-abr.			90 días	Colectiva		Pintura		Pedro Querejazú, Elida Román, Alicia Viteri, María Elena Jarrín, Cecilia Ayala,Miguel González					Sala de la Colección										
Proyecto 500	Antonio Caro	Antonio Caro	Colombiana	1991	5	14-may.				Individual		Varias		NA					Cinemateca										
Grabados Populares del Nordeste Brasileño	Mestre Noza, PAS, Walderedo Goncalves, Costa Leite, Eneias, Expedito, Dila, MFS, J. Borges, Palito, A33,Joao de Barros	Mestre Noza, PAS, Walderedo Goncalves, Costa Leite, Eneias, Expedito, Dila, MFS, J. Borges, Palito, A33,Joao de Barros	Brasileña	1991	6	5-jun.			30 días	Colectiva		Grabado		NA		Embajada de Brasil	Alberto da Costa Silva		Alterna	0050p									
Exposición de Paige Abadi	Paige Abadi	Paige Abadi	Canadiense	1991	6	25-jun.			65 días	Individual		Grabado		NA			Miguel González		Galería-taller	0051p									
Fotógrafos Suizos desde 1840 hasta Nuestros Días	Jug Andermatt, Bruno Barbey, Manuel Baumann, Leonardo Bezzola, Manfred Bingler, Werner Bischof, Josef Bischolberger, Ernest Bloch, Kurt Blum, Edmond-Edouard Boissonnas, Fred Boissonnas, Luca Bonetti, Jules Bonnet, Walter Bosshard, Nicolas Bouvier, Johannes Bruell, Balthasar Burkhard, René Burri, Luz Chessex, Thomas Cugini, Josef Dahinden, Edouard de Jongh, Francis de Jongh, Auguste de Jongh, Hans Dossenbach, Gertrud Duby-Muller, Marjolaine Dutoit, Ulysse Dutoit, Charles Durheim, Gertrude Fehr, Hans Feuer, Heinz-Dieter Finck, Hans Finsler, Robert Frank, Theo Frey, Werner Friedli, Georg Gerster, Ohilipp Giegel, Emil Goetz, Gabriel Grendene, Henriette Grindat, René Groebli, Heinz Guggenbuhl, Jakob Gwinner, Charles-André Habib, Peter Haeberlin, Werner Haug, Suzanne Hausammann, Rosmarie Hausheer, Heinz Hebeisen, Ernst Heiniger, Ursula Heller, Franz Henn, Hugo Herdeg, Jakob Hoflinger, Adolf Huppi, Johann Baptiste Isenring, Monique Jacot, Jurg Klages, Peter Knapp, Carl-August Koch, Hans Krebs, Friedrich Kressmann, Candid Lang, Walter Laubli, Rudolf Lichtsteiner, Bjorn Lindroos, Philipp Link, Ernst Link, René Machler, Ella Maillard, Max Eugen Mathys, Herbert Matter, Jean-Pierre Maurer, Fred Mayer, Annemarie Meier, Johannes Meiner, Jack Metzger, Walter Mittelholzer, Jean Mohr, Franziska Mollinger, Nicolas Monkewitz, Bernhard Moosbrugger, Gino Pedroli, Dolf Preisig, Doris Quarella, Otto Rietmann, Art Rongger, Doris Rosonfeld, Ernst Scheidegger, Hans Schapfler, Roland Schneider, Rolf Schroeter, Peter Schudel, Gotthard Schuh, Emil Schulthess, Iwan Schumacher, Paul Senn, Eduard Spelterni, Willy Spiler, Emil Spuhler, Cristian Staub, Hans Staub, Hermann Stauder, Johann-Baptiste Taeschler, Josef-Ludwing Taeschler, Jakob Tuggener, Daniel Vittet, Christian Vogt, Fred Waldvogen, Hans Weyermann, Andreas Wolfensberger, Michael Wolgensinger, Kurt Wyss, Max Wyss,Alo Zanetta	Jug Andermatt, Bruno Barbey, Manuel Baumann, Leonardo Bezzola, Manfred Bingler, Werner Bischof, Josef Bischolberger, Ernest Bloch, Kurt Blum, Edmond-Edouard Boissonnas, Fred Boissonnas, Luca Bonetti, Jules Bonnet, Walter Bosshard, Nicolas Bouvier, Johannes Bruell, Balthasar Burkhard, René Burri, Luz Chessex, Thomas Cugini, Josef Dahinden, Edouard de Jongh, Francis de Jongh, Auguste de Jongh, Hans Dossenbach, Gertrud Duby-Muller, Marjolaine Dutoit, Ulysse Dutoit, Charles Durheim, Gertrude Fehr, Hans Feuer, Heinz-Dieter Finck, Hans Finsler, Robert Frank, Theo Frey, Werner Friedli, Georg Gerster, Ohilipp Giegel, Emil Goetz, Gabriel Grendene, Henriette Grindat, René Groebli, Heinz Guggenbuhl, Jakob Gwinner, Charles-André Habib, Peter Haeberlin, Werner Haug, Suzanne Hausammann, Rosmarie Hausheer, Heinz Hebeisen, Ernst Heiniger, Ursula Heller, Franz Henn, Hugo Herdeg, Jakob Hoflinger, Adolf Huppi, Johann Baptiste Isenring, Monique Jacot, Jurg Klages, Peter Knapp, Carl-August Koch, Hans Krebs, Friedrich Kressmann, Candid Lang, Walter Laubli, Rudolf Lichtsteiner, Bjorn Lindroos, Philipp Link, Ernst Link, René Machler, Ella Maillard, Max Eugen Mathys, Herbert Matter, Jean-Pierre Maurer, Fred Mayer, Annemarie Meier, Johannes Meiner, Jack Metzger, Walter Mittelholzer, Jean Mohr, Franziska Mollinger, Nicolas Monkewitz, Bernhard Moosbrugger, Gino Pedroli, Dolf Preisig, Doris Quarella, Otto Rietmann, Art Rongger, Doris Rosonfeld, Ernst Scheidegger, Hans Schapfler, Roland Schneider, Rolf Schroeter, Peter Schudel, Gotthard Schuh, Emil Schulthess, Iwan Schumacher, Paul Senn, Eduard Spelterni, Willy Spiler, Emil Spuhler, Cristian Staub, Hans Staub, Hermann Stauder, Johann-Baptiste Taeschler, Josef-Ludwing Taeschler, Jakob Tuggener, Daniel Vittet, Christian Vogt, Fred Waldvogen, Hans Weyermann, Andreas Wolfensberger, Michael Wolgensinger, Kurt Wyss, Max Wyss,Alo Zanetta	Suiza	1991	7	2-jul.			45 días	Retrospectiva-colectiva		Fotografía		NA		Embajada de Suiza	Hugo Loetscher		Rotatoria	0071c									
Muestra de arte gráfico norte-americano y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia	Varios	Varios	Varias	1991	8	Agosto				Colectiva		Escultura,Arte Gráfico 		Miguel González					Sala de la Colección										
Joyería Contemporánea Colombiana	Juliana Anzellini, Gladys Barney, Carlota Bentham, Ana María Bonilla, Rafael Botero, Marco Bruzzone, Diego Buenahora, Nuria Carulla, Liliana Durán, Rafael Echeverry, Robert Friedman, Olga García, Claudia Gil, María Angélica Mejía, Guillermo Melo, Juana Méndez, Claudia Ortiz, Piry de Patiño, Clara Piedrahita, Francisco Piñeros, Liliana Reyes, Jimena Rueda, Victoria Salamanca, Juana Salcedo, Alba Silva, Elizabeth Torres, Jairo Upegui, Fabio Valencia, Alfredo Vélez, Florencia Vélez,Marta Villegas	Juliana Anzellini, Gladys Barney, Carlota Bentham, Ana María Bonilla, Rafael Botero, Marco Bruzzone, Diego Buenahora, Nuria Carulla, Liliana Durán, Rafael Echeverri, Robert Friedman, Olga García, Claudia Gil, María Angélica Mejía, Guillermo Melo, Juana Méndez, Claudia Ortiz, Piry de Patiño, Clara Piedrahita, Francisco Piñeros, Liliana Reyes, Jimena Rueda, Victoria Salamanca, Juana Salcedo, Alba Silva, Elizabeth Torres, Jairo Upegui, Fabio Valencia, Alfredo Vélez, Florencia Vélez,Marta Villegas	Colombiana	1991	9	3-sept.				Colectiva		Joyería		NA					Galería-taller	0072c									
Exposición de Alberto Sojo	Alberto Sojo	Alberto Sojo	Colombiana	1991	9	17-sept.			45 días	Individual		Pintura		NA			Alberto Sojo		Rotatoria	0052p									
